생존	A	B	장	절	관
25	13	12	제4장 생산자이론	제12절 비용이론	제1관 회계적 비용과 경제적 비용
25	3	22	제5장 시장이론	제16절 과점시장	제2관 쿠르노·베르트랑·슈타켈베르크 모형
26	17	9	제7장 재정학의 기타주제	제16절 공채론	제1관 공채의 종류와 기능
26	18	8	제4장 총수요·총공급이론	제9절 IS-LM모형	제1관 IS곡선의 도출과 이동
26	17	9	제7장 경기변동과 경제성장	제18절 경기변동론	제1관 경기변동의 특징과 측정
26	16	10	제1장 경제학의 기초	제1절 경제학의 개요	제3관 기회비용과 합리적 선택
27	17	10	제6장 조세의 경제적 효과	제12절 개별조세이론	제1관 소득세
27	17	10	제6장 조세의 경제적 효과	제13절 조세의 경제적 효과	제1관 조세와 노동공급
27	17	10	제2장 국제금융론	제3절 환율, 환율결정이론, 환율제도	제1관 환율의 개념과 표시방법
27	12	15	제5장 인플레이션과 실업	제13절 노동시장과 실업	제1관 실업의 측정과 종류
27	21	6	제5장 인플레이션과 실업	제14절 필립스곡선과 스태그플레이션	제1관 원래의 필립스곡선
28	13	15	제2장 외부성, 공공재, 공공선택이론	제4절 공공재이론	제4관 클럽재
28	11	17	제7장 재정학의 기타주제	제15절 공공요금의 이론	제2관 한계비용 가격설정·평균비용 가격설정
28	23	5	제1장 경제학의 기초	제1절 경제학의 개요	제2관 경제문제와 경제체제
28	19	9	제1장 경제학의 기초	제1절 경제학의 개요	제4관 생산가능곡선
28	9	19	제3장 소비자이론	제9절 소비자이론의 응용	제1관 노동공급 결정
29	16	13	제5장 조세의 초과부담 및 최적과세론	제10절 조세와 효율성 : 초과부담	제2관 보상수요곡선과 초과부담
29	15	14	제1장 국제무역론	제2절 무역정책론	제1관 관세의 효과
29	24	5	제6장 거시경제학파와 안정화정책	제17절 안정화정책과 관련된 논쟁	제1관 재량 vs 준칙
29	24	5	제1장 경제학의 기초	제2절 경제학의 방법론	제2관 경제이론·모형·가정
29	10	19	제2장 수요·공급의 이론	제5절 수요·공급이론의 응용	제1관 가격통제 (최고가격제·최저가격제)
30	15	15	제5장 인플레이션과 실업	제12절 물가와 인플레이션	제1관 물가지수 (CPI·PPI·GDP 디플레이터)
30	20	10	제2장 수요·공급의 이론	제3절 수요·공급의 이론	제1관 수요와 수요곡선
30	9	21	제5장 시장이론	제13절 완전경쟁시장	제2관 단기 이윤극대화
30	26	4	제1장 재정학의 개요	제2절 경제적 효율성과 시장실패	제1관 파레토 효율성
30	12	18	제2장 외부성, 공공재, 공공선택이론	제4절 공공재이론	제1관 공공재의 특성 (비경합성·비배제성)
30	23	7	제2장 외부성, 공공재, 공공선택이론	제5절 공공선택이론	제1관 다수결투표와 중위투표자정리
31	19	12	제2장 수요·공급의 이론	제3절 수요·공급의 이론	제2관 공급과 공급곡선
31	15	16	제2장 소비함수와 투자함수	제6절 투자함수론	
31	25	6	제1장 재정학의 개요	제1절 재정학의 기초	제1관 재정의 의의와 기능
32	15	17	제5장 조세의 초과부담 및 최적과세론	제11절 최적과세론	제1관 최적물품세 (램지 원칙·역탄력성)
32	22	10	제7장 재정학의 기타주제	제17절 지방재정	제1관 재정연방주의
32	16	16	제4장 총수요·총공급이론	제10절 재정정책과 금융정책	제1관 재정정책의 효과
32	13	19	제2장 수요·공급의 이론	제3절 수요·공급의 이론	제4관 수요·공급의 변화와 균형이동
32	22	10	제4장 생산자이론	제11절 생산이론	제1관 생산함수와 생산요소
32	7	25	제5장 시장이론	제14절 독점시장	제3관 가격차별
32	17	15	제4장 조세의 기초 및 전가와 귀착	제8절 조세의 기초이론	제1관 조세의 분류와 원칙
33	26	7	제6장 거시경제학파와 안정화정책	제16절 새고전학파·새케인즈학파	제1관 새고전학파 (합리적기대·실물경기변동)
